Exclude,key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,pubmed_id,pmc_id
,rayyan-671138539,Systematic review and meta-analysis of PIT tagging effects on mortality and growth of juvenile salmonids,2020,,,Reviews in Fish Biology and Fisheries,09603166 (ISSN),30,4,553-568,"Vollset, K.W. and Lennox, R.J. and Thorstad, E.B. and Auer, S. and Bär, K. and Larsen, M.H. and Mahlum, S. and Näslund, J. and Stryhn, H. and Dohoo, I.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092677255&doi=10.1007%2fs11160-020-09611-1&partnerID=40&md5=258e88557d8c07f530c4e811b08963e2,English,Springer Science and Business Media Deutschland GmbH,"[""LFI - Freshwater Biology, NORCE Norwegian Research Centre, Nygardsporten 112, Bergen, 5006, Norway"", ""Norwegian Institute for Nature Research, P.O. box 5685, Torgarden, Trondheim, 7485, Norway"", ""University of Natural Resources and Life Science, Gregor-Mendel-Straße 33, Vienna, 1180, Austria"", ""Technical University of Munich, Emil-Ramann-Str.6, Freising, 85354, Germany"", ""Department of Aquatic Resources, Institute of Freshwater Research, Swedish University of Agricultural Sciences, Stångholmsvägen 2, Drottningholm, 17893, Sweden"", ""Danish Centre for Wild Salmon, Brusgårdsvej 15, Randers SØ, 8960, Denmark"", ""University of PEI, PEI, 550 University Ave, Charlottetown, C1A 4P3, Canada""]","A systematic review and meta-analysis was conducted to evaluate the appropriate tag:fish size ratio when tagging juvenile salmonids (genera Oncorhynchus, Salmo, and Salvelinus). The review yielded 18 publications with 211 control and treatment groups reporting results from laboratory studies on the effects of passive integrated transponder (PIT) tags, plus a small number of additional studies on acoustic transmitters. A meta-analysis of the PIT tagging studies showed significant heterogeneity among studies with respect to mortality. Meta-regression revealed that juvenile salmonid mortality increased curvilinearly with the tag:fish length ratio, indicating that mortality risk is rapidly enhanced as smaller fish or larger tag sizes are used. The tag:fish length ratio effect on daily length or mass gain increased linearly. The results provide an estimate of the effects of the tag:fish length ratio on mortality and growth parameters in juvenile salmonids. Based on this, we suggest that researchers can follow best practices for tagging juvenile salmonids with tags that are not greater than 17.5% of fish total length (TL). This equates a minimum size threshold of 131 mm TL for tagging salmonids with 23-mm PIT tags, and 69 mm TL with 12-mm PIT tags. This information can assist researchers, managers, and welfare agencies striving to use the best possible evidence to make informed decisions regarding fish tagging. © 2020, The Author(s).","Cited By :2     Export Date: 17 May 2021     Correspondence Address: Vollset, K.W.; LFI - Freshwater Biology, Nygardsporten 112, Norway; email: knvo@norceresearch.no RAYYAN-INCLUSION: {""losialagisz""=>""Included"", ""daniel.wa.noble""=>""Included""} RAYYAN-INCLUSION: {""losialagisz""=>""Included"", ""daniel.wa.noble""=>""Included""} | RAYYAN-LABELS: multitrait",,
,rayyan-671138540,Big City Living: A Global Meta-Analysis Reveals Positive Impact of Urbanization on Body Size in Lizards,2020,,,Frontiers in Ecology and Evolution,2296701X (ISSN),8,,,"Putman, B.J. and Tippie, Z.A.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097554677&doi=10.3389%2ffevo.2020.580745&partnerID=40&md5=2adc35f53f30f3f5bfff12c484fe513c,English,Frontiers Media S.A.,"Department of Biology, California State University, San BernardinoCA, United States","Urban environments pose different selective pressures than natural ones, leading to changes in animal behavior, physiology, and morphology. Understanding how animals respond to urbanization could inform the management of urban habitats. Non-avian reptiles have important roles in ecosystems worldwide, yet their responses to urbanization have not been as comprehensively studied as those of mammals and birds. However, unlike mammals and birds, most reptiles cannot easily move away from disturbances, making the selective pressure to adapt to urban environments especially strong. In recent years, there has been a surge in research on the responses of lizards to urbanization, yet no formal synthesis has determined what makes an urban lizard, in other words, which phenotypic traits are most likely to change with urbanization and in which direction? Here, we present a qualitative synthesis of the literature and a quantitative phylogenetic meta-analysis comparing phenotypic traits between urban and non-urban lizard populations. The most robust finding from our analysis is that urban lizards are larger than their non-urban counterparts. This result remained consistent between sexes and taxonomic groups. Hence, lizards that pass through the urban filter have access to better resources, more time for foraging, and/or there is selection on attaining a larger body size. Other results included an increase in the diameters of perches used and longer limb and digit lengths, although this may be a result of increased body size. Urban lizards were not bolder, more active or exploratory, and did not differ in immune responses than non-urban populations. Overall, studies are biased to a few geographic regions and taxa. More than 70% of all data came from three species of anoles in the family Dactyloidae, making it difficult to generalize patterns to other clades. Thus, more studies are needed across multiple taxa and habitats to produce meaningful predictions that could help inform conservation and management of urban ecological communities. © Copyright © 2020 Putman and Tippie.","Export Date: 17 May 2021     Correspondence Address: Putman, B.J.; Department of Biology, San Bernardino, United States; email: breanna.putman@csusb.edu RAYYAN-INCLUSION: {""losialagisz""=>""Included"", ""daniel.wa.noble""=>""Included""} RAYYAN-INCLUSION: {""losialagisz""=>""Included"", ""daniel.wa.noble""=>""Included""} | RAYYAN-LABELS: multitrait",,
,rayyan-671138541,Effect of the plastic pollutant bisphenol A on the biology of aquatic organisms: A meta-analysis,2020,,,Global Change Biology,13541013 (ISSN),26,7,3821-3833,"Wu, N.C. and Seebacher, F.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085060663&doi=10.1111%2fgcb.15127&partnerID=40&md5=a7cdbff1b1566b4508b9cd83f051f361,English,Blackwell Publishing Ltd,"School of Life and Environmental Sciences A08, The University of Sydney, Sydney, NSW, Australia","Plastic pollution is a global environmental concern. In particular, the endocrine-disrupting chemical bisphenol A (BPA) is nearly ubiquitous in aquatic environments globally, and it continues to be produced and released into the environment in large quantities. BPA disrupts hormone signalling and can thereby have far-reaching physiological and ecological consequences. However, it is not clear whether BPA has consistent effects across biological traits and phylogenetic groups. Hence, the aim of this study was to establish the current state of knowledge of the effect of BPA in aquatic organisms. We show that overall BPA exposure affected aquatic organisms negatively. It increased abnormalities, altered behaviour and had negative effects on the cardiovascular system, development, growth and survival. Early life stages were the most sensitive to BPA exposure in invertebrates and vertebrates, and invertebrates and amphibians seem to be particularly affected. These data provide a context for management efforts in the face of increasing plastic pollution. However, data availability is highly biased with respect to taxonomic groups and traits studies, and in the geographical distribution of sample collection. The latter is the case for both measurements of the biological responses and assessing pollution levels in water ways. Future research effort should be directed towards biological systems, such as studying endocrine disruption directly, and geographical areas (particularly in Africa and Asia) which we identify to be currently undersampled. © 2020 John Wiley & Sons Ltd","Cited By :9     Export Date: 17 May 2021     Correspondence Address: Seebacher, F.; School of Life and Environmental Sciences A08, Australia; email: frank.seebacher@sydney.edu.au RAYYAN-INCLUSION: {""losialagisz""=>""Included"", ""daniel.wa.noble""=>""Included""} RAYYAN-INCLUSION: {""losialagisz""=>""Included"", ""daniel.wa.noble""=>""Included""} | RAYYAN-LABELS: multitrait",,
,rayyan-671138542,Predicting the effects of anthropogenic noise on fish reproduction,2020,,,Reviews in Fish Biology and Fisheries,09603166 (ISSN),30,2,245-268,"de Jong, K. and Forland, T.N. and Amorim, M.C.P. and Rieucau, G. and Slabbekoorn, H. and Sivle, L.D.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081558984&doi=10.1007%2fs11160-020-09598-9&partnerID=40&md5=422656fe0a82e0485d0c40df897c718a,English,Springer,"[""Institute of Marine Research, PO Box 1870, Nordnes, Bergen, 5817, Norway"", ""MARE — Marine and Environmental Sciences Centre, ISPA — Instituto Universitário, Lisbon, Portugal"", ""Louisiana Universities Marine Consortium, 8124 Highway 56, Chauvin, LA  70344, United States"", ""Behavioural Biology, Institute of Biology, Leiden University, PO Box 9505, Leiden, 2300 RA, Netherlands"", ""Department of Animal Biology, University of Lisbon, Lisbon, Portugal""]","Abstract: Aquatic animals use and produce sound for critical life functions, including reproduction. Anthropogenic noise is recognized as a global source of environmental pollution and adequate conservation and management strategies are urgently needed. It becomes therefore critical to identify the reproductive traits that render a species vulnerable to acoustic disturbances, and the types of anthropogenic noise that are most likely to impact reproduction. Here, we provide predictions about noise impact on fish reproduction following a two-step approach: first, we grouped documented effects of noise into three mechanistic categories: stress, masking and hearing-loss, and test which type of noise (continuous vs intermittent and regular vs irregular) was most likely to produce a significant response in each category with either a meta-analysis or a quantitative review, depending on data availability. Second, we reviewed existing literature to predict which reproductive traits would render fish most sensitive to stress, masking and hearing-loss. In step one, we concluded that continuous sounds with irregular amplitude and/or frequency-content (e.g. heavy ship traffic) were most likely to cause stress, and continuous sounds were also most likely to induce masking and hearing-loss. From step two we concluded that the vulnerability of a species to noise-induced stress will mainly depend on: (1) its potential to reallocate reproduction to more quiet times or locations, and (2) its vulnerability to masking and hearing-loss mainly on the function of sound communication in its reproductive behaviour. We discuss in which stages of reproduction fish are most likely to be vulnerable to anthropogenic noise based on these findings. Graphic abstract: [Figure not available: see fulltext.]. © 2020, The Author(s).","Cited By :9     Export Date: 17 May 2021     Correspondence Address: de Jong, K.; Institute of Marine Research, PO Box 1870, Nordnes, Norway; email: karen.de.jong@hi.no RAYYAN-INCLUSION: {""losialagisz""=>""Included"", ""daniel.wa.noble""=>""Included""} RAYYAN-INCLUSION: {""losialagisz""=>""Included"", ""daniel.wa.noble""=>""Included""} | RAYYAN-LABELS: multitrait",,
,rayyan-671138543,Distinguishing between active plasticity due to thermal acclimation and passive plasticity due to Q10 effects: Why methodology matters,2020,,,Functional Ecology,02698463 (ISSN),34,5,1015-1028,"Havird, J.C. and Neuwald, J.L. and Shah, A.A. and Mauro, A. and Marshall, C.A. and Ghalambor, C.K.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081000785&doi=10.1111%2f1365-2435.13534&partnerID=40&md5=f3ccec6f0071c4dbea6a41287f2b729e,English,Blackwell Publishing Ltd,"[""Department of Integrative Biology, University of Texas at Austin, Austin, TX, United States"", ""Department of Biology, Colorado State University, Fort Collins, CO, United States"", ""Graduate Degree Program in Ecology, Colorado State University, Fort Collins, CO, United States"", ""Division of Biological Sciences, University of Montana, Missoula, MT, United States""]","Characterizing thermal acclimation is a common goal of eco-physiological studies and has important implications for models of climate change and environmental adaptation. However, quantifying thermal acclimation in biological rate processes is not straightforward because many rates increase with temperature due to the acute effect of thermodynamics on molecular interactions. Disentangling such passive plastic responses from active acclimation responses is critical for describing patterns of thermal acclimation. Here, we reviewed published studies and distinguished between different study designs measuring the acute (i.e. passive) and acclimated (i.e. active) effects of temperature on metabolic rate. We then developed a method to quantify and classify acclimation responses by comparing acute and acclimated Q10 values. Finally, we applied this method using meta-analysis to characterize thermal acclimation in metabolic rates of ectothermic animals. We reviewed 258 studies measuring thermal effects on metabolic rates, and found that a majority of these studies (74%) did not allow for quantifying the independent effects of acclimation. Such studies were more common when testing aquatic taxa and continue to be published even in recent years. A meta-analysis of 96 studies where acclimation could be quantified (using 1,072 Q10 values) revealed that ‘partial compensation’ was the most common acclimation response (i.e. acclimation tended to offset the passive change in metabolic rate due to acute temperature changes). However, ‘no acclimation’ and ‘inverse compensation’, in which acclimation further augmented the acute change in metabolic rate, were also common. Acclimation responses differed among taxa, habitats and with experimental design. Amphibians and other terrestrial taxa tended to show weak acclimation responses, whereas fishes and other aquatic taxa tended to show stronger compensatory responses. Increasing how long the animal was allowed to adjust to a new test temperature increased the acclimation response, but body size did not. Acclimation responses were also stronger with longer acclimation durations. Collectively, these results highlight the importance of using the appropriate experimental design to investigate and estimate thermal acclimation of biological rates. To facilitate and guide future studies of thermal acclimation, we end with some suggestions for designing and interpreting experiments. A free Plain Language Summary can be found within the Supporting Information of this article. © 2020 British Ecological Society","Cited By :14     Export Date: 17 May 2021     CODEN: FECOE     Correspondence Address: Havird, J.C.; Department of Integrative Biology, United States; email: jhavird@utexas.edu RAYYAN-INCLUSION: {""losialagisz""=>""Included"", ""daniel.wa.noble""=>""Included""} RAYYAN-INCLUSION: {""losialagisz""=>""Included"", ""daniel.wa.noble""=>""Included""}",,
,rayyan-671138544,Structural colours reflect individual quality: A meta-analysis,2020,,,Biology Letters,17449561 (ISSN),16,4,,"White, T.E.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083404646&doi=10.1098%2frsbl.2020.0001&partnerID=40&md5=b3971515b5cc3d7e88700743f23f5771,English,Royal Society Publishing,"School of Life and Environmental Sciences, University of Sydney, Sydney, NSW  2106, Australia","Colourful ornaments often communicate salient information to mates, and theory predicts covariance between signal expression and individual quality. This has borne out among pigment-based signals, but the potential for ‘honesty’ in structural coloration is unresolved. Here, I synthesized the available evidence to test this prediction via meta-analysis and found that, overall, the expression of structurally coloured sexual signals is positively associated with individual quality. The effects varied by the measure of quality, however, with body condition and immune function reliably encoded across taxa, but not age nor parasite resistance. The relationship was apparent for both the colour and brightness of signals and was slightly stronger for iridescent ornaments. These results suggest diverse pathways to the encoding and exchange of information among structural colours while highlighting outstanding questions as to the development, visual ecology and evolution of this striking adornment. © 2020 The Author(s) Published by the Royal Society. All rights reserved.","Cited By :4     Export Date: 17 May 2021     Correspondence Address: White, T.E.; School of Life and Environmental Sciences, Australia; email: thomas.white@sydney.edu.au RAYYAN-INCLUSION: {""losialagisz""=>""Included"", ""daniel.wa.noble""=>""Included""} RAYYAN-INCLUSION: {""losialagisz""=>""Included"", ""daniel.wa.noble""=>""Included""} | RAYYAN-LABELS: multitrait",,
,rayyan-671138545,Swimming performance of marine fish larvae: review of a universal trait under ecological and environmental pressure,2020,,,Reviews in Fish Biology and Fisheries,09603166 (ISSN),30,1,93-108,"Downie, A.T. and Illing, B. and Faria, A.M. and Rummer, J.L.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077637610&doi=10.1007%2fs11160-019-09592-w&partnerID=40&md5=dc8e65ef4a91fbef3d9609f740fefa71,English,Springer,"[""Australian Research Center of Excellence for Coral Reef Studies, James Cook University, Townsville, QLD  4811, Australia"", ""MARE-ISPA, Rua Jardim Do Tabaco, Lisbon, 34 1149, Portugal""]","The larval phase of marine teleost fishes is characterized by important morphological and physiological modifications. Many of these modifications improve the larvae’s ability to swim, which satisfies a suite of crucial biological and ecological functions. Indeed, larval fish swimming performance has been considered a good proxy for overall condition, a predictor for growth and survival, and particularly helpful in assessing effects of natural and anthropogenic stress. Several methodologies have been developed to test larval fish swimming performance; however, measured swimming capabilities can strongly depend on the methodology utilised and developmental stage investigated. The aims of this review were, therefore, to link the ontogenetic development of swimming performance in early life stages of marine fishes, particularly the anatomical and physiological processes around the fins, muscles, and gills, with both the experimental methodologies used and the environmental stressors tested. We conducted a literature search and found 156 research papers relevant to swimming performance of marine teleost fish larvae. We found swimming performance to be highly variable among species and driven by temperature. In a meta-analysis focusing on the impacts of environmental stress on larval swimming performance, we found that prey reduction had the greatest impact on swimming. Methods used to evaluate swimming should keep the ontogenetic stage a focus, as forced swimming experiments are unfit for larvae prior to flexion of the notochord. Overall, while the data are deficient in some areas, we are able to highlight where the field of larval fish swimming could be directed and provide insight into which methods are best used under certain ecological scenarios, environmental stressors, and developmental stages. © 2020, Springer Nature Switzerland AG.","Cited By :4     Export Date: 17 May 2021     Correspondence Address: Downie, A.T.; Australian Research Center of Excellence for Coral Reef Studies, Australia; email: adam.downie@my.jcu.edu.au RAYYAN-INCLUSION: {""losialagisz""=>""Included"", ""daniel.wa.noble""=>""Included""} RAYYAN-INCLUSION: {""losialagisz""=>""Included"", ""daniel.wa.noble""=>""Included""}",,
,rayyan-671138546,The association between stressors and telomeres in non-human vertebrates: a meta-analysis,2020,,,Ecology Letters,1461023X (ISSN),23,2,381-398,"Chatelain, M. and Drobniak, S.M. and Szulkin, M.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075762270&doi=10.1111%2fele.13426&partnerID=40&md5=69654e2be44df53313f6b5cbe68539a6,English,Blackwell Publishing Ltd,"[""Centre of New Technologies, University of Warsaw, Banacha 2C, Warszawa, 02-097, Poland"", ""Institute of Environmental Sciences, Jagiellonian University, Gronostajowa 7, Kraków, 30-387, Poland"", ""Ecology & Evolution Research Centre, School of Biological, Environmental and Earth Sciences, University of New South Wales, Sydney, Australia""]","Animal response to stressors such as harsh environmental conditions and demanding biological processes requires energy generated through increased mitochondrial activity. This results in the production of reactive oxygen species (ROS). In vitro and some in vivo studies suggest that oxidative damage of DNA caused by ROS is responsible for telomere shortening. Since telomere length is correlated with survival in many vertebrates, telomere loss is hypothesised to trigger cellular ageing and/ or to reflect the harshness of the environment an individual has experienced. To improve our understanding of stress-induced telomere dynamics in non-human vertebrates, we analysed 109 relevant studies in a meta-analytical framework. Overall, the exposure to possible stressors was associated with shorter telomeres or higher telomere shortening rate (average effect size = −0.16 ± 0.03). This relationship was consistent for all phylogenetic classes and for all a priori-selected stressor categories. It was stronger in the case of pathogen infection, competition, reproductive effort and high activity level, which emphasises their importance in explaining intraspecific telomere length variability and, potentially, lifespan variability. Interestingly, the association between stressor exposure and telomeres in one hand, and oxidative stress in the other hand, covaried, suggesting the implication of oxidative stress in telomere dynamics. © 2019 John Wiley & Sons Ltd/CNRS","Cited By :29     Export Date: 17 May 2021     CODEN: ECLEF     Correspondence Address: Chatelain, M.; Centre of New Technologies, Banacha 2C, Poland; email: marion.chatelain@uibk.ac.at RAYYAN-INCLUSION: {""losialagisz""=>""Included"", ""daniel.wa.noble""=>""Included""} RAYYAN-INCLUSION: {""losialagisz""=>""Included"", ""daniel.wa.noble""=>""Included""}",,
,rayyan-671138547,Patterns and variation in the mammal parasite–glucocorticoid relationship,2020,,,Biological Reviews,14647931 (ISSN),95,1,74-93,"Defolie, C. and Merkling, T. and Fichtel, C.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074025621&doi=10.1111%2fbrv.12555&partnerID=40&md5=495db7bd3b003db693a416082eabf0be,English,Blackwell Publishing Ltd,"[""Sociobiology/Anthropology Department, University of Göttingen, Kellnerweg 6, Göttingen, 37077, Germany"", ""Behavioral Ecology & Sociobiology Unit, German Primate Center, Leibniz Institute for Primate Research, Kellnerweg 4, Göttingen, 37077, Germany"", ""Leibniz ScienceCampus “Primate Cognition”, German Primate Center, Kellnerweg 4, Göttingen, 37077, Germany"", ""Department of Natural Resource Sciences, McGill University, Macdonald-Stewart Building, 21111 Lakeshore Road, Ste. Anne de Bellevue, Québec, H9X 3V9, Canada""]","Parasites are ubiquitous and can strongly affect their hosts through mechanisms such as behavioural changes, increased energetic costs and/or immunomodulation. When parasites are detrimental to their hosts, they should act as physiological stressors and elicit the release of glucocorticoids. Alternatively, previously elevated glucocorticoid levels could facilitate parasite infection due to neuroimmunomodulation. However, results are equivocal, with studies showing either positive, negative or no relationship between parasite infection and glucocorticoid levels. Since factors such as parasite type, infection severity or host age and sex can influence the parasite–glucocorticoid relationship, we review the main mechanisms driving this relationship. We then perform a phylogenetic meta-analysis of 110 records from 65 studies in mammalian hosts from experimental and observational studies to quantify the general direction of this relationship and to identify ecological and methodological drivers of the observed variability. Our review produced equivocal results concerning the direction of the relationship, but there was stronger support for a positive relationship, although causality remained unclear. Mechanisms such as host manipulation for parasite survival, host response to infection, cumulative effects of multiple stressors, and neuro-immunomodulatory effects of glucocorticoids could explain the positive relationship. Our meta-analysis results revealed an overall positive relationship between glucocorticoids and parasitism among both experimental and observational studies. Because all experimental studies included were parasite manipulations, we conclude that parasites caused in general an increase in glucocorticoid levels. To obtain a better understanding of the directionality of this link, experimental manipulation of glucocorticoid levels is now required to assess the causal effects of high glucocorticoid levels on parasite infection. Neither parasite type, the method used to assess parasite infection nor phylogeny influenced the relationship, and there was no evidence for publication bias. Future studies should attempt to be as comprehensive as possible, including moderators potentially influencing the parasite–glucocorticoid relationship. We particularly emphasise the importance of testing hosts of a broad age range, concomitantly measuring sex hormone levels or at least reproductive status, and for observational studies, also considering food availability, host body condition and social stressors to obtain a better understanding of the parasite–glucocorticoid relationship. © 2019 The Authors. Biological Reviews published by John Wiley & Sons Ltd on behalf of Cambridge Philosophical Society.","Cited By :4     Export Date: 17 May 2021     Correspondence Address: Defolie, C.; Sociobiology/Anthropology Department, Kellnerweg 6, Germany; email: cdefolie@dpz.eu RAYYAN-INCLUSION: {""losialagisz""=>""Included"", ""daniel.wa.noble""=>""Included""} RAYYAN-INCLUSION: {""losialagisz""=>""Included"", ""daniel.wa.noble""=>""Included""}",,
,rayyan-671138548,Diving deep into trouble: The role of foraging strategy and morphology in adapting to a changing environment,2020,,,Conservation Physiology,20511434 (ISSN),8,1,,"Ladds, M. and Rosen, D. and Gerlinsky, C. and Slip, D. and Harcourt, R.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100342798&doi=10.1093%2fconphys%2fcoaa111&partnerID=40&md5=7aabffe238be5aa4eac763ea292e0561,English,Oxford University Press,"[""Department of Conservation, Marine Ecosystems Team, Wellington, 6011, New Zealand"", ""Marine Predator Research Group, Department of Biological Sciences, Macquarie University, North Ryde, 2113, Australia"", ""Marine Mammal Research Unit, Institute for Oceans and Fisheries, University of British Columbia, Vancouver, V6T 1Z4, Canada"", ""Taronga Conservation Society Australia, Mosman, 2088, Australia""]","Physiology places constraints on an animal's ability to forage and those unable to adapt to changing conditions may face increased challenges to reproduce and survive. As the global marine environment continues to change, small, air-breathing, endothermic marine predators such as otariids (fur seals and sea lions) and particularly females,whoare constrained by central place foraging during breeding, may experience increased difficulties in successfully obtaining adequate food resources. We explored whether physiological limits of female otariids may be innately related to body morphology (fur seals vs sea lions) and/or dictate foraging strategies (epipelagic vs mesopelagic or benthic).We conducted a systematic review of the increased body of literature since the original reviews of Costa et al. (When does physiology limit the foraging behaviour of freely diving mammals? Int Congr Ser 2004;1275:359-366) and Arnould and Costa (Sea lions in drag, fur seals incognito: Insights from the otariid deviants. In Sea Lions of the World Fairbanks. Alaska Sea Grant College Program, Alaska, USA, pp. 309-324, 2006) on behavioural (dive duration and depth) and physiological (total body oxygen stores and diving metabolic rates) parameters.We estimatedcalculatedaerobic dive limit (cADL-estimatedduration of aerobic dives) for species and used simulations to predict the proportion of dives that exceeded the cADL. We tested whether body morphology or foraging strategy was the primary predictor of these behavioural and physiological characteristics.We found that the foraging strategy compared to morphology was a better predictor of most parameters, including whether a species was more likely to exceed their cADL during a dive and the ratio of dive time to cADL. This suggests that benthic and mesopelagic divers are more likely to be foraging at their physiological capacity. For species operating near their physiological capacity (regularly exceeding their cADL), the ability to switch strategies is limited as the cost of foraging deeper and longer is disproportionally high, unless it is accompanied by physiological adaptations. It is proposed that some otariids may not have the ability to switch foraging strategies and so be unable adapt to a changing oceanic ecosystem. © 2020 Oxford University Press. All rights reserved.","Export Date: 17 May 2021     Correspondence Address: Ladds, M.; Department of Conservation, 18-32 Manners St, New Zealand; email: monique.ladds@gmail.com RAYYAN-INCLUSION: {""losialagisz""=>""Included"", ""daniel.wa.noble""=>""Included""} RAYYAN-INCLUSION: {""losialagisz""=>""Included"", ""daniel.wa.noble""=>""Included""} | RAYYAN-LABELS: Correct that this is not a meta-analytic model, but this is definitely a comparative physiology style approach. I think we should include. Its not a contrast based style effect, but it still quantitatively synthesises across species | RAYYAN-EXCLUSION-REASONS: not meta-analytic model",,
